iter	Passed	Remaining
0	145	145219
1	147	73808
2	151	50303
3	153	38238
4	155	31018
5	158	26187
6	160	22751
7	162	20184
8	165	18173
9	167	16561
10	169	15252
11	172	14165
12	174	13226
13	176	12433
14	179	11763
15	181	11155
16	183	10634
17	186	10148
18	188	9718
19	190	9334
20	192	8997
21	195	8686
22	198	8416
23	200	8151
24	203	7918
25	205	7695
26	207	7486
27	210	7302
28	212	7118
29	215	6960
30	217	6809
31	220	6659
32	222	6528
33	225	6406
34	227	6279
35	230	6159
36	232	6043
37	234	5924
38	235	5812
39	237	5710
40	240	5615
41	241	5509
42	243	5415
43	244	5319
44	246	5228
45	247	5138
46	248	5048
47	250	4961
48	251	4880
49	252	4803
50	254	4732
51	255	4659
52	257	4592
53	258	4527
54	259	4459
55	260	4395
56	261	4333
57	263	4272
58	264	4216
59	265	4162
60	267	4110
61	268	4065
62	270	4017
63	271	3965
64	272	3916
65	273	3870
66	274	3822
67	275	3777
68	276	3732
69	277	3692
70	279	3650
71	280	3609
72	281	3571
73	282	3534
74	284	3502
75	285	3469
76	286	3433
77	287	3400
78	288	3365
79	289	3331
80	290	3297
81	291	3265
82	292	3231
83	293	3201
84	294	3172
85	295	3144
86	297	3118
87	298	3097
88	300	3073
89	301	3047
90	302	3021
91	303	2995
92	304	2972
93	305	2947
94	306	2924
95	308	2902
96	309	2879
97	310	2856
98	311	2834
99	312	2814
100	314	2795
101	315	2774
102	316	2753
103	317	2733
104	318	2712
105	319	2692
106	320	2674
107	321	2656
108	322	2638
109	323	2619
110	324	2601
111	326	2585
112	328	2575
113	329	2559
114	330	2543
115	331	2527
116	332	2509
117	333	2493
118	334	2477
119	335	2462
120	336	2447
121	337	2430
122	338	2415
123	339	2400
124	340	2386
125	342	2376
126	343	2361
127	344	2348
128	345	2334
129	346	2321
130	347	2308
131	349	2295
132	350	2282
133	351	2269
134	352	2257
135	353	2244
136	354	2232
137	355	2220
138	356	2210
139	358	2200
140	359	2188
141	360	2175
142	361	2165
143	362	2153
144	363	2144
145	364	2133
146	365	2122
147	366	2111
148	367	2100
149	369	2091
150	370	2084
151	372	2077
152	373	2068
153	374	2059
154	376	2050
155	377	2040
156	378	2032
157	380	2025
158	381	2018
159	382	2009
160	383	1998
161	384	1990
162	386	1983
163	387	1976
164	389	1970
165	390	1962
166	391	1953
167	392	1945
168	394	1938
169	395	1929
170	396	1921
171	397	1913
172	398	1905
173	399	1897
174	401	1891
175	403	1886
176	404	1879
177	405	1871
178	406	1862
179	407	1855
180	408	1847
181	409	1840
182	410	1833
183	411	1826
184	412	1818
185	413	1810
186	414	1804
187	417	1802
188	418	1795
189	419	1788
190	420	1781
191	421	1774
192	422	1766
193	423	1759
194	424	1752
195	425	1746
196	426	1740
197	427	1733
198	429	1726
199	431	1724
200	433	1721
201	434	1715
202	435	1708
203	436	1701
204	437	1695
205	438	1689
206	439	1683
207	440	1677
208	441	1671
209	442	1665
210	443	1659
211	445	1654
212	447	1653
213	448	1649
214	450	1643
215	451	1638
216	452	1632
217	453	1626
218	454	1621
219	455	1615
220	456	1610
221	457	1604
222	459	1599
223	460	1594
224	461	1590
225	463	1586
226	464	1580
227	465	1575
228	466	1570
229	467	1565
230	468	1559
231	469	1554
232	470	1548
233	471	1543
234	472	1538
235	473	1534
236	475	1529
237	476	1526
238	477	1521
239	478	1516
240	479	1511
241	480	1506
242	481	1501
243	482	1496
244	483	1491
245	484	1486
246	485	1481
247	486	1476
248	487	1471
249	489	1467
250	490	1464
251	492	1460
252	492	1455
253	493	1450
254	494	1445
255	496	1441
256	497	1436
257	498	1432
258	499	1428
259	500	1423
260	501	1419
261	502	1415
262	503	1411
263	505	1409
264	506	1405
265	507	1401
266	509	1397
267	510	1393
268	511	1389
269	512	1385
270	513	1381
271	514	1376
272	515	1372
273	516	1368
274	517	1364
275	518	1360
276	520	1359
277	521	1355
278	523	1351
279	524	1347
280	525	1344
281	526	1340
282	527	1336
283	528	1332
284	529	1328
285	530	1324
286	531	1321
287	532	1317
288	534	1314
289	535	1311
290	536	1307
291	537	1303
292	538	1300
293	540	1296
294	541	1293
295	542	1290
296	543	1286
297	544	1282
298	545	1278
299	546	1275
300	547	1271
301	548	1268
302	550	1265
303	551	1262
304	552	1258
305	553	1255
306	554	1251
307	555	1248
308	556	1245
309	557	1241
310	559	1238
311	559	1234
312	560	1231
313	562	1228
314	563	1224
315	564	1221
316	565	1218
317	566	1215
318	567	1211
319	568	1208
320	569	1205
321	570	1201
322	571	1198
323	572	1195
324	573	1192
325	575	1188
326	576	1185
327	577	1182
328	578	1179
329	579	1176
330	580	1173
331	581	1170
332	583	1167
333	584	1164
334	585	1161
335	586	1158
336	587	1155
337	588	1151
338	589	1148
339	590	1145
340	591	1142
341	592	1139
342	593	1137
343	595	1135
344	596	1132
345	597	1129
346	598	1126
347	599	1123
348	600	1120
349	601	1116
350	602	1113
351	603	1110
352	604	1108
353	605	1105
354	606	1102
355	607	1099
356	608	1096
357	609	1093
358	611	1091
359	612	1088
360	613	1085
361	614	1082
362	615	1079
363	616	1077
364	617	1074
365	618	1071
366	619	1068
367	620	1065
368	621	1063
369	623	1061
370	624	1058
371	625	1056
372	626	1053
373	627	1050
374	628	1048
375	630	1045
376	631	1042
377	632	1040
378	633	1037
379	634	1034
380	635	1031
381	636	1029
382	637	1027
383	639	1025
384	640	1022
385	641	1020
386	642	1017
